year,ram_usd_per_mb,ram_usd_per_gb,ram_index_R,ram_commodity_usd_per_gb,ram_hbm_usd_per_gb,ram_commodity_R,ram_ai_R,hbm_weight,lipstick_prestige_b_usd,lipstick_index_2001_100,hemline_score_0_10,mui_b_usd,mui_yoy_pct,box_office_b_usd,cpi_yoy,real_gdp_yoy,unemp_u3,sp500_close,sp500_return,nber_recession,ram_usd_per_mb_qa,ram_index_R_qa,ram_qa_n_obs,ram_provenance,row_status
2000,1.05,1075.2,-0.073,,,,,0.0,,,6.0,,,7.48,3.4,4.1,4.0,1320.28,-9.1,0,0.858198,-0.12723,12,"hedonic quality-adjusted, McCallum archive",realised
2001,0.23,235.52,-1.518,,,,,0.0,10.0,100.0,6.0,,,8.35,2.8,1.0,4.7,1148.08,-11.9,1,0.282253,-1.11203,12,"hedonic quality-adjusted, McCallum archive",realised
2002,0.16,163.84,-0.362,,,,,0.0,10.3,95.0,6.0,,,9.16,1.6,1.7,5.8,879.82,-22.1,0,0.198551,-0.351759,7,"hedonic quality-adjusted, McCallum archive",realised
2003,0.19,194.56,0.172,,,,,0.0,10.8,96.0,6.0,,,9.24,2.3,2.8,6.0,1111.92,28.7,0,0.139846,-0.350504,10,"hedonic quality-adjusted, McCallum archive",realised
2004,0.19,194.56,0.0,,,,,0.0,11.4,98.0,6.0,,,9.38,2.7,3.9,5.5,1211.92,10.9,0,0.176064,0.230307,6,"hedonic quality-adjusted, McCallum archive",realised
2005,0.13,133.12,-0.38,,,,,0.0,12.0,100.0,6.5,2.35,,8.84,3.4,3.5,5.1,1248.29,4.9,0,0.178143,0.01174,4,"hedonic quality-adjusted, McCallum archive",realised
2006,0.16,163.84,0.207,,,,,0.0,12.8,104.0,6.5,2.42,3.0,9.21,3.2,2.8,4.6,1418.3,15.8,0,0.105237,-0.526377,7,"hedonic quality-adjusted, McCallum archive",realised
2007,0.11,112.64,-0.374,,,,,0.0,13.5,107.0,6.5,2.5,3.3,9.63,2.9,2.0,4.6,1468.36,5.5,1,0.052161,-0.701876,9,"hedonic quality-adjusted, McCallum archive",realised
2008,0.039,39.936,-1.037,,,,,0.0,13.0,92.0,6.5,2.48,-0.8,9.65,3.8,0.1,5.8,903.25,-37.0,1,0.021517,-0.885495,8,"hedonic quality-adjusted, McCallum archive",realised
2009,0.024,24.576,-0.485,,,,,0.0,12.1,86.0,6.5,2.42,-2.4,10.62,-0.4,-2.6,9.3,1115.1,26.5,1,0.016505,-0.26515,8,"hedonic quality-adjusted, McCallum archive",realised
2010,0.012,12.288,-0.693,,,,,0.0,13.3,93.0,5.5,2.48,2.5,10.59,1.6,2.7,9.6,1257.64,15.1,0,0.024597,0.398918,9,"hedonic quality-adjusted, McCallum archive",realised
2011,0.0078,7.9872,-0.431,,,,,0.0,14.2,99.0,5.5,2.53,2.0,10.16,3.2,1.6,8.9,1257.6,2.1,0,0.010885,-0.815227,6,"hedonic quality-adjusted, McCallum archive",realised
2012,0.0044,4.5056,-0.572,,,,,0.0,15.0,105.0,5.5,2.58,2.0,10.84,2.1,2.3,8.1,1426.19,16.0,0,0.006654,-0.492163,7,"hedonic quality-adjusted, McCallum archive",realised
2013,0.0055,5.632,0.223,,,,,0.0,15.6,110.0,5.5,2.6,0.8,10.96,1.5,2.1,7.4,1848.36,32.4,0,0.009831,0.390294,9,"hedonic quality-adjusted, McCallum archive",realised
2014,0.0069,7.0656,0.227,,,,,0.0,16.2,115.0,5.5,2.65,1.9,10.37,1.6,2.5,6.2,2058.9,13.7,0,0.011525,0.158988,7,"hedonic quality-adjusted, McCallum archive",realised
2015,0.0047,4.8128,-0.385,,,,,0.0,17.0,122.0,5.5,2.7,1.9,11.15,0.1,2.9,5.3,2043.94,1.4,0,0.007523,-0.426529,10,"hedonic quality-adjusted, McCallum archive",realised
2016,0.003,3.072,-0.449,,,,,0.0,17.9,128.0,5.5,2.75,1.9,11.38,1.3,1.8,4.9,2238.83,12.0,0,0.005336,-0.343439,9,"hedonic quality-adjusted, McCallum archive",realised
2017,0.0053,5.4272,0.569,,,,,0.0,18.9,135.0,5.5,2.85,3.6,11.08,2.1,2.5,4.4,2673.61,21.8,0,0.009077,0.531205,8,"hedonic quality-adjusted, McCallum archive",realised
2018,0.0082,8.3968,0.436,,,,,0.0,19.5,140.0,5.5,3.0,5.3,11.89,2.4,3.0,3.9,2506.85,-4.4,0,0.009274,0.021464,9,"hedonic quality-adjusted, McCallum archive",realised
2019,0.0035,3.584,-0.851,,,,,0.0,20.0,144.0,5.5,3.1,3.3,11.36,1.8,2.6,3.7,3230.78,31.5,0,0.005194,-0.57974,12,"hedonic quality-adjusted, McCallum archive",realised
2020,0.0035,3.584,0.0,,,,,0.0,16.0,80.0,5.5,3.16,1.9,2.11,1.2,-2.2,8.1,3756.07,18.4,1,0.005109,-0.016475,9,"hedonic quality-adjusted, McCallum archive",realised
2021,0.0036,3.6864,0.028,,,,,0.0,21.0,120.0,5.5,3.3,4.4,4.48,4.7,6.1,5.3,4766.18,28.7,0,,,,"published blend (McCallum/hblok/TrendForce, rounded) — archive coverage insufficient",realised
2022,0.003,3.072,-0.182,,,,,0.0,24.2,150.0,5.5,3.36,1.8,7.37,8.0,2.1,3.6,3839.5,-18.1,0,,,,"published blend (McCallum/hblok/TrendForce, rounded) — archive coverage insufficient",realised
2023,0.0018,1.8432,-0.511,,,,,0.0,27.8,214.0,5.5,3.4,1.2,8.91,4.1,2.9,3.6,4769.83,26.3,0,,,,"published blend (McCallum/hblok/TrendForce, rounded) — archive coverage insufficient",realised
2024,0.0029,2.9696,0.477,3.21,13.77,0.524,0.262,0.18,29.5,255.0,5.5,3.55,4.4,8.57,3.0,2.8,4.0,5881.63,25.0,0,,,,"published blend (McCallum/hblok/TrendForce, rounded) — archive coverage insufficient",realised
2025,0.0041,4.1984,0.346,4.72,16.28,0.421,0.17,0.3,30.6,275.0,5.5,3.65,2.8,8.66,2.1,2.2,4.1,6089.54,5.5,0,,,,"published blend (McCallum/hblok/TrendForce, rounded) — archive coverage insufficient",realised
2026,0.00972,9.95,0.863,18.56,19.2,1.367,0.167,0.42,31.5,285.0,5.5,3.72,1.9,2.31,1.8,1.5,4.4,5995.0,-1.5,0,,,,"published blend (McCallum/hblok/TrendForce, rounded) — archive coverage insufficient",incomplete
